Y,"[-7.57355445926005e-06, 9.2603504885126322e-08, -7.492153389587277e-07, -7.6653302395906363e-06, -7.2129361532761774e-07, -3.8284113647297644e-06]"
X,"[7.597495047166885e-06, 9.6154568929294111e-09, 1.1146848669264017e-09, 7.6686711346880513e-06, 6.3560607736091007e-07, 3.7537418524929867e-06]"
objective1,"[7.5975007830396001e-06, 9.6154577504703232e-09, 1.1147409992888148e-09, 7.66867701041682e-06, 6.3560612938735801e-07, 3.7537433181663445e-06]"
objective2,"[2.3952095943991332e-08, 1.0221896212240654e-07, 7.4810068224155857e-07, 3.3526516773222948e-09, 8.5687630025546475e-08, 7.4672386689148209e-08]"
