gen objective1 objective2 X2 X1 
0 0.0591936342329233 0.0335167024228520 -0.0907741485729154 0.0583696396280096 
1 0.0591936342329233 0.0335167024228520 -0.0907741485729154 0.0583696396280096 
1 0.0086726713156236 0.1818373661534556 -0.1852632100113238 0.0052404256172536 
2 0.0591936342329233 0.0335167024228520 -0.0907741485729154 0.0583696396280096 
2 0.0086726713156236 0.1818373661534556 -0.1852632100113238 0.0052404256172536 
3 0.0591936342329233 0.0335167024228520 -0.0907741485729154 0.0583696396280096 
3 0.0086726713156236 0.1818373661534556 -0.1852632100113238 0.0052404256172536 
4 0.0591936342329233 0.0335167024228520 -0.0907741485729154 0.0583696396280096 
4 0.0086726713156236 0.1818373661534556 -0.1852632100113238 0.0052404256172536 
5 0.0591936342329233 0.0335167024228520 -0.0907741485729154 0.0583696396280096 
5 0.0086726713156236 0.1818373661534556 -0.1852632100113238 0.0052404256172536 
6 0.0591936342329233 0.0335167024228520 -0.0907741485729154 0.0583696396280096 
6 0.0086726713156236 0.1818373661534556 -0.1852632100113238 0.0052404256172536 
7 0.0591936342329233 0.0335167024228520 -0.0907741485729154 0.0583696396280096 
7 0.0086726713156236 0.1818373661534556 -0.1852632100113238 0.0052404256172536 
8 0.0591936342329233 0.0335167024228520 -0.0907741485729154 0.0583696396280096 
8 0.3158635045406448 0.0259942388793599 -0.3129095770849822 0.3060722641974946 
8 0.0086726713156236 0.1818373661534556 -0.1852632100113238 0.0052404256172536 
9 0.3158635045406448 0.0259942388793599 -0.3129095770849822 0.3060722641974946 
9 0.0086726713156236 0.1818373661534556 -0.1852632100113238 0.0052404256172536 
9 0.0430575019741065 0.1460535555655940 0.1832667073215923 -0.0396988333728567 
9 0.0591936342329233 0.0335167024228520 -0.0907741485729154 0.0583696396280096 
10 0.3158635045406448 0.0259942388793599 -0.3129095770849822 0.3060722641974946 
10 0.0430575019741065 0.1460535555655940 0.1832667073215923 -0.0396988333728567 
10 0.0591936342329233 0.0335167024228520 -0.0907741485729154 0.0583696396280096 
10 0.0086726713156236 0.1818373661534556 -0.1852632100113238 0.0052404256172536 
11 0.3158635045406448 0.0259942388793599 -0.3129095770849822 0.3060722641974946 
11 0.0430575019741065 0.1460535555655940 0.1832667073215923 -0.0396988333728567 
11 0.0591936342329233 0.0335167024228520 -0.0907741485729154 0.0583696396280096 
11 0.0086726713156236 0.1818373661534556 -0.1852632100113238 0.0052404256172536 
12 0.3158635045406448 0.0259942388793599 -0.3129095770849822 0.3060722641974946 
12 0.0430575019741065 0.1460535555655940 0.1832667073215923 -0.0396988333728567 
12 0.0591936342329233 0.0335167024228520 -0.0907741485729154 0.0583696396280096 
12 0.0086726713156236 0.1818373661534556 -0.1852632100113238 0.0052404256172536 
13 0.0430575019741065 0.1460535555655940 0.1832667073215923 -0.0396988333728567 
13 0.0591936342329233 0.0335167024228520 -0.0907741485729154 0.0583696396280096 
13 0.0086726713156236 0.1818373661534556 -0.1852632100113238 0.0052404256172536 
13 0.1108279802611866 0.0256328366867082 -0.0863788533346223 0.1100818496308462 
14 0.0430575019741065 0.1460535555655940 0.1832667073215923 -0.0396988333728567 
14 0.0591936342329233 0.0335167024228520 -0.0907741485729154 0.0583696396280096 
14 0.0086726713156236 0.1818373661534556 -0.1852632100113238 0.0052404256172536 
14 0.1108279802611866 0.0256328366867082 -0.0863788533346223 0.1100818496308462 
15 0.0591936342329233 0.0335167024228520 -0.0907741485729154 0.0583696396280096 
15 0.0086726713156236 0.1818373661534556 -0.1852632100113238 0.0052404256172536 
15 0.1108279802611866 0.0256328366867082 -0.0863788533346223 0.1100818496308462 
15 0.0071475477404470 0.2162955663121779 -0.2114395951984292 -0.0026768774986794 
