gen ave_objective1 std_objective1 ave_objective2 std_objective2 ave_Y std_Y ave_X std_X time
61 0.02238704 0.04163682 0.01897556 0.03221167 0.0054 0.0332 0.0038 0.0468 0.3
62 0.03010471 0.04939806 0.03257267 0.05289175 0.0051 0.0431 0.0169 0.0551 0.3
63 0.02231173 0.05001849 0.03309852 0.07031370 0.0072 0.0551 0.0151 0.0526 0.3
64 0.10177969 0.24395390 0.11576441 0.25494358 0.0073 0.0551 -0.0115 0.2641 0.3
65 0.08055874 0.20704134 0.09640239 0.21952943 0.0045 0.0585 -0.0270 0.2205 0.3
66 0.07822810 0.20097110 0.08110843 0.21099460 -0.0034 0.0083 -0.0349 0.2128 0.3
67 0.06205019 0.16167723 0.06462220 0.16771820 -0.0037 0.0085 -0.0367 0.1692 0.3
68 0.06653828 0.18395591 0.08435600 0.20687006 0.0139 0.0884 -0.0208 0.1945 0.3
69 0.04963247 0.10501921 0.07127436 0.13662581 0.0003 0.1036 0.0314 0.1116 0.3
70 0.03184139 0.04163662 0.04871219 0.09352591 0.0042 0.0973 0.0300 0.0425 0.3
71 0.05673075 0.15383626 0.06041514 0.16043596 -0.0189 0.0494 0.0511 0.1557 0.3
72 0.14441565 0.26953667 0.16480605 0.27849815 -0.0188 0.0633 0.0841 0.2939 0.3
73 0.12880849 0.22876363 0.13231738 0.23837420 -0.0002 0.0187 0.0577 0.2561 0.3
74 0.12843274 0.22117967 0.14386888 0.22927340 0.0087 0.0415 0.0110 0.2555 0.3
75 0.19002485 0.29896559 0.23249815 0.31809918 -0.0267 0.1170 -0.0639 0.3481 0.3
76 0.16627881 0.24335456 0.20151236 0.25308188 0.0038 0.0894 -0.1163 0.2706 0.3
77 0.20312808 0.30599064 0.21525998 0.32036807 0.0013 0.0271 -0.1132 0.3493 0.3
78 0.24473163 0.34351164 0.25963128 0.35764617 0.0003 0.0254 -0.0225 0.4212 0.3
79 0.25001727 0.34754721 0.31578269 0.38212602 -0.0547 0.1765 -0.1327 0.4060 0.3
80 0.30374193 0.33847878 0.31834006 0.35577730 0.0011 0.0293 -0.1523 0.4285 0.4
81 0.16679990 0.25251150 0.17693642 0.26590217 0.0030 0.0402 -0.0572 0.2971 0.4
82 0.15423713 0.23930206 0.16410844 0.25695020 -0.0092 0.0599 -0.0644 0.2771 0.4
83 0.16969288 0.24537321 0.18158588 0.26252982 -0.0029 0.0627 -0.0574 0.2926 0.4
84 0.15754278 0.21190337 0.16534695 0.22362153 -0.0035 0.0509 -0.0789 0.2518 0.4
85 0.14927922 0.20652561 0.14945985 0.21247646 -0.0097 0.0370 -0.0867 0.2395 0.4
86 0.13681298 0.25090796 0.14248042 0.26231772 -0.0065 0.0220 -0.1044 0.2660 0.4
87 0.10432389 0.25088660 0.11166073 0.26505644 -0.0074 0.0216 -0.0849 0.2581 0.4
88 0.14024033 0.27626401 0.16258068 0.30551546 0.0196 0.1320 -0.0872 0.2962 0.4
89 0.07813878 0.17345918 0.08091280 0.18064635 -0.0030 0.0060 -0.0447 0.1849 0.4
90 0.06433915 0.15506797 0.06601253 0.15996763 -0.0015 0.0030 -0.0598 0.1569 0.4
91 0.04694137 0.13856750 0.04813403 0.14360290 -0.0020 0.0034 -0.0380 0.1413 0.4
92 0.03457220 0.08107627 0.03527192 0.08356082 -0.0014 0.0033 -0.0324 0.0820 0.4
93 0.03528863 0.07703394 0.03641137 0.07817481 -0.0004 0.0026 -0.0296 0.0794 0.4
94 0.02650965 0.06491312 0.02720364 0.06475429 -0.0004 0.0028 -0.0215 0.0668 0.4
95 0.01763159 0.04281549 0.01864482 0.04495398 -0.0010 0.0024 -0.0175 0.0429 0.4
